"INSTNM","MN_EARN_WNE_P7","MN_EARN_WNE_P6","MN_EARN_WNE_P8","MN_EARN_WNE_P9","MN_EARN_WNE_P10","CITY","STABBR","INSTURL","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","LOAN_EVER","CONTROL"
"7450","Wentworth Institute of Technology","NULL","47400","54800","NULL","59000","Dorchester","MA","www.wit.edu","22684.5","25000","20500","0.956473829","Private"
"7451","Wentworth Institute of Technology","NULL","47400","54800","NULL","59000","Fall River","MA","www.wit.edu","22684.5","25000","20500","0.956473829","Private"
"7452","Cleary University","50000","45100","53600","54500","53400","Howell","MI","www.cleary.edu/","20869.5","21282","13666","0.931623932","Private"
"7453","Davenport University-Warren Location","29600","29200","31400","33100","33300","Warren","MI","www.davenport.edu","18000","18000","14750","0.880165289","Private"
"7454","Davenport University-Kalamazoo Location","29600","29200","31400","33100","33300","Kalamazoo","MI","www.davenport.edu","18000","18000","14750","0.880165289","Private"
"7455","Davenport University-Lansing Location","29600","29200","31400","33100","33300","Lansing","MI","www.davenport.edu","18000","18000","14750","0.880165289","Private"
"7456","Davenport University-Midland Location","29600","29200","31400","33100","33300","Midland","MI","www.davenport.edu","18000","18000","14750","0.880165289","Private"
"7457","Davenport University-Holland Location","29600","29200","31400","33100","33300","Holland","MI","www.davenport.edu","18000","18000","14750","0.880165289","Private"
"7458","Davenport University-Flint Location","29600","29200","31400","33100","33300","Flint","MI","www.davenport.edu","18000","18000","14750","0.880165289","Private"
"7459","Davenport University-Traverse City Location","29600","29200","31400","33100","33300","Traverse City","MI","www.davenport.edu","18000","18000","14750","0.880165289","Private"
"7460","Davenport University-Saginaw Location","29600","29200","31400","33100","33300","Saginaw","MI","www.davenport.edu","18000","18000","14750","0.880165289","Private"
"7461","Davenport University-Livonia Location","29600","29200","31400","33100","33300","Livonia","MI","www.davenport.edu","18000","18000","14750","0.880165289","Private"
"7462","Davenport University-Battle Creek Location","29600","29200","31400","33100","33300","Battle Creek","MI","www.davenport.edu","18000","18000","14750","0.880165289","Private"
"7463","Davenport University-Grand Rapids Downtown","NULL","NULL","NULL","NULL","NULL","Grand Rapids","MI","davenport.edu","18000","18000","14750","0.880165289","Private"
"7464","Davenport University - Treasury Site Dimondale","NULL","NULL","NULL","NULL","NULL","Dimondale","MI","NULL","18000","18000","14750","0.880165289","Private"
"7465","Anoka-Ramsey Community College-Cambridge Campus","35400","32900","36100","38100","39500","Cambridge","MN","www.anokaramsey.edu/","8737","8887.5","6500","0.670579948","Public"
"7466","Central Lakes College-Staples Campus","30700","30400","32400","34000","34800","Staples","MN","WWW.CLCMN.EDU","9500","9325","6681","0.713967724","Public"
"7467","M State - Detroit Lakes Campus","32000","31700","34600","34400","36100","Detroit Lakes","MN","www.minnesota.edu","9500","9169","7379","0.770247934","Public"
"7468","M State - Moorhead Campus","32000","31700","34600","34400","36100","Moorhead","MN","www.minnesota.edu","9500","9169","7379","0.770247934","Public"
"7469","M State - Wadena Campus","32000","31700","34600","34400","36100","Wadena","MN","www.minnesota.edu","9500","9169","7379","0.770247934","Public"
"7470","South Central  College-Faribault","32200","31000","33600","33500","36100","Faribault","MN","www.southcentral.edu","10380","9249","6825","0.712827988","Public"
"7471","Mesabi Range College","31700","33700","33100","PrivacySuppressed","31800","Eveleth","MN","www.mesabirange.edu","9467.5","9500","6500","0.748021108","Public"
"7472","Northland Community and Technical College - East Grand Forks","32000","32900","36500","34400","39400","East Grand Forks","MN","www.northlandcollege.edu/","9500","10000","8750","0.777777778","Public"
"7473","Rasmussen College-Bloomington","29400","28400","30400","33500","33100","Bloomington","MN","www.rasmussen.edu","9500","14606","12500","0.890379829","Private"
"7474","Rasmussen College-Eagan","29400","28400","30400","33500","33100","Eagan","MN","www.rasmussen.edu","9500","14606","12500","0.890379829","Private"
"7475","Rasmussen College-Mankato","29400","28400","30400","33500","33100","Mankato","MN","www.rasmussen.edu","9500","14606","12500","0.890379829","Private"
"7476","Rasmussen College-Brooklyn Park","29400","28400","30400","33500","33100","Brooklyn Park","MN","www.rasmussen.edu","9500","14606","12500","0.890379829","Private"
"7477","Rasmussen College-Lake Elmo/Woodbury","29400","28400","30400","33500","33100","Lake Elmo","MN","https://www.rasmussen.edu","9500","14606","12500","0.890379829","Private"
"7478","Rasmussen College-Blaine","29400","28400","30400","33500","33100","Blaine","MN","www.rasmussen.edu","9500","14606","12500","0.890379829","Private"
"7479","Ridgewater College","30800","30400","31700","32900","35300","Hutchinson","MN","www.ridgewater.edu","9500","9500","8015.5","0.724860335","Public"
"7480","Minnesota State College-SE Technical-Red Wing","30500","31000","33300","33300","33400","Red Wing","MN","www.southeastmn.edu/","9536.5","9500","6944","0.799670239","Public"
"7481","Copiah-Lincoln Community College Simpson County Center","27300","25700","28200","30600","31700","Mendenhall","MS","www.colin.edu","3415","4000","5500","0.234978017","Public"
"7482","Copiah-Lincoln Community College-Natchez Campus","27300","25700","28200","30600","31700","Natchez","MS","www.colin.edu","3415","4000","5500","0.234978017","Public"
"7483","Pearl River Community College-Forrest County Center","28200","26300","29800","31700","32100","Hattiesburg","MS","www.prcc.edu","4909","5500","5826","0.253473399","Public"
"7484","Lindenwood University-Belleville","NULL","NULL","NULL","NULL","NULL","Belleville","IL","belleville.lindenwood.edu/index.html","19000","19912","17063","0.937644937","Private"
"7485","City College Montana State University Billings","NULL","33400","34700","NULL","38100","Billings","MT","citycollege.msubillings.edu/","9500","9750","8500","0.811031175","Public"
"7486","The University of Montana - Missoula College","NULL","31700","37100","NULL","40100","Missoula","MT","www.umt.edu","15250","14706.5","13000","0.850503663","Public"
"7487","Marinello School of Beauty-Henderson","NULL","20300","20100","NULL","22800","Henderson","NV","www.marinello.com","5767","9491.5","6333","0.863187588","Private"
"7488","New Hampshire Institute for Therapeutic Arts","PrivacySuppressed","22000","26400","PrivacySuppressed","PrivacySuppressed","Bridgton","ME","www.nhita.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"7489","American Institute","NULL","22500","24700","NULL","27300","Clifton","NJ","www.americaninstitute.com","9764","12322","12350","0.885466795","Private"
"7490","Berkeley College - Westchester Campus","38400","32800","38500","40900","42300","White Plains","NY","www.BerkeleyCollege.edu","12992","16709","15999","0.909255898","Private"
"7491","Briarcliffe College–Patchogue","NULL","29100","36100","NULL","42300","Patchogue","NY","www.briarcliffe.edu","14750","19588.5","16938","0.902453621","Private"
"7492","Culinary Institute of America at Greystone","39700","35800","40200","42400","46300","St. Helena","CA","www.ciachef.edu","14228.5","12000","12000","0.940182648","Private"
"7493","Culinary Institute of America  San Antonio","39700","35800","40200","42400","46300","San Antonio","TX","www.ciachef.edu","14228.5","12000","12000","0.940182648","Private"
"7494","Jamestown Business College -","NULL","NULL","NULL","NULL","NULL","Salamanca","NY","www.jamestownbusinesscollege.edu","6999","PrivacySuppressed","PrivacySuppressed","0.455197133","Private"
"7495","Pratt Manhattan-A Division of Pratt Institute","36900","33700","39700","41100","45400","New York","NY","www.pratt.edu","25000","25705","20000","0.953563715","Private"
"7496","Saint Josephs College-Long Island","48200","38500","47300","54200","54300","Patchogue","NY","www.sjcny.edu","18750","19344.5","18750","0.838044759","Private"
"7497","Saint Elizabeth College of Nursing","NULL","NULL","NULL","NULL","NULL","Utica","NY","www.secon.edu","14000","12100","11916.5","0.882352941","Private"
"7498","Gaston College","NULL","22800","25600","NULL","27600","Lincolnton","NC","www.gaston.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"7499","Rasmussen College-Bismarck","29400","28400","30400","33500","33100","Bismarck","ND","www.rasmussen.edu","9500","14606","12500","0.890379829","Private"
"7500","Mount Carmel College of Nursing - Fairfield","NULL","NULL","NULL","NULL","NULL","Lancaster","OH","www.mccn.edu","18750","19500","18750","0.928416486","Private"
"7501","Los Angeles Center","53700","56900","53400","50700","50400","Los Angeles","CA","www.myunion.edu/About/Locations","16750","16732","15625","0.953510436","Private"
"7502","Florida Center","53700","56900","53400","50700","50400","North Miami Beach","FL","www.myunion.edu/About/Locations","16750","16732","15625","0.953510436","Private"
"7503","Sacramento Center","53700","56900","53400","50700","50400","Sacramento","CA","www.myunion.edu/About/Locations","16750","16732","15625","0.953510436","Private"
"7504","Montpelier Center - Closed July 2013","53700","56900","53400","50700","50400","Montpelier","VT","NULL","16750","16732","15625","0.953510436","Private"
"7505","New England Center","53700","56900","53400","50700","50400","Brattleboro","VT","www.myunion.edu/About/Locations","16750","16732","15625","0.953510436","Private"
"7506","Corban University Bellevue Washington Campus","NULL","30600","35700","NULL","41100","Bellevue","WA","http://www.corban.edu/graduate/ministry/index.html","18448","19750","15500","0.928421053","Private"
"7507","Western Seminary-San Jose","PrivacySuppressed","NULL","NULL","PrivacySuppressed","NULL","Santa Clara","CA","www.westernseminary.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"7508","Western Seminary-Sacramento","PrivacySuppressed","NULL","NULL","PrivacySuppressed","NULL","Rocklin","CA","www.westernseminary.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"7509","Toni&Guy Hairdressing Academy","19500","17400","18900","21600","25900","Philadelphia","PA","www.tghairacademy.edu","12027","13532.5","8028","0.913165266","Private"
"7510","Bucks County Community College-Upper Bucks Campus","35300","32500","36800","38300","39300","Perkasie","PA","www.bucks.edu","6354","6250","5500","0.451602766","Public"
"7511","Bucks County Community College-Lower Bucks Campus","35300","32500","36800","38300","39300","Bristol","PA","www.bucks.edu","6354","6250","5500","0.451602766","Public"
"7512","Harrisburg Area Community College-Lancaster","32600","29100","33600","35600","35700","Lancaster","PA","www.hacc.edu","8250","9250","6715.5","0.788198609","Public"
"7513","Harrisburg Area Community College-Gettysburg","32600","29100","33600","35600","35700","Gettysburg","PA","www.hacc.edu","8250","9250","6715.5","0.788198609","Public"
"7514","Harrisburg Area Community College-Lebanon","32600","29100","33600","35600","35700","Lebanon","PA","www.hacc.edu","8250","9250","6715.5","0.788198609","Public"
"7515","Harrisburg Area Community College-York","32600","29100","33600","35600","35700","York","PA","www.hacc.edu/","8250","9250","6715.5","0.788198609","Public"
"7516","New Castle School of Trades","NULL","29900","34200","NULL","33400","Pulaski","PA","www.ncstrades.edu","8040.5","8284","7666","0.765267176","Private"
"7517","Northampton County Area Community College-Monroe","30700","27600","31300","34900","34800","Tannersville","PA","www.northampton.edu","6607.5","8004","6500","0.432672234","Public"
"7518","Villanova University - Summer Music Studies Program","NULL","25100","31000","NULL","33300","Villanova","PA","www.uarts.edu/academics/music/mm-music-education","25223","27000","23250","0.98045977","Private"
"7519","South Hills School of Business and Technology-Altoona","27200","25200","29900","29300","31500","Altoona","PA","https://www.southhills.edu","14501","14501","14501","0.930618401","Private"
"7520","Galveston College - Charlie Thomas Family Applied Technology Center","NULL","30400","34500","NULL","36800","Galveston","TX","www.gc.edu","5444","4906.5","4750","0.218826406","Public"
"7521","San Jacinto College-North Campus","34700","31700","36700","37900","39800","Houston","TX","www.sjcd.edu","6000","5500","4750","0.187924675","Public"
"7522","San Jacinto College-South Campus","34700","31700","36700","37900","39800","Houston","TX","www.sjcd.edu","6000","5500","4750","0.187924675","Public"
"7523","Southwest School of Business and Technical Careers-South Texas","NULL","17800","19900","NULL","20500","McAllen","TX","www.sws.edu","5560","PrivacySuppressed","PrivacySuppressed","0.826923077","Private"
"7524","Southwest School of Business and Technical Careers-Corpus Christi","NULL","17800","19900","NULL","20500","Corpus Christi","TX","www.sws.edu","5560","PrivacySuppressed","PrivacySuppressed","0.826923077","Private"
"7525","Texas A&M University-San Antonio","NULL","37200","42500","NULL","44700","San Antonio","TX","http://www.tamusa.tamus.edu/","13704","14000","13000","0.793956044","Public"
"7526","Texas A & M University Health Science Center","NULL","NULL","NULL","NULL","NULL","Bryan","TX","tamhsc.edu/","12520","17083","16500","0.738679847","Public"
"7527","Snow College-Richfield Campus","28900","26200","31600","31200","34400","Richfield","UT","www.scr.snow.edu/","3500","3500","3500","0.45224977","Public"
"7528","Strayer University-Alexandria Campus","51300","41600","49100","56100","55200","Alexandria","VA","www.strayer.edu/virginia/alexandria","8334","16769.5","17500.5","0.896555357","Private"
"7529","Strayer University-Woodbridge Campus","51300","41600","49100","56100","55200","Woodbridge","VA","www.strayer.edu/virginia/woodbridge","8334","16769.5","17500.5","0.896555357","Private"
"7530","Strayer University-Manassas Campus","51300","41600","49100","56100","55200","Manassas","VA","www.strayer.edu/virginia/manassas","8334","16769.5","17500.5","0.896555357","Private"
"7531","Strayer University-Loudoun Campus","51300","41600","49100","56100","55200","Ashburn","VA","www.strayer.edu/virginia/loudoun","8334","16769.5","17500.5","0.896555357","Private"
"7532","Strayer University-Fredericksburg Campus","51300","41600","49100","56100","55200","Fredericksburg","VA","www.strayer.edu/virginia/fredericksburg","8334","16769.5","17500.5","0.896555357","Private"
"7533","Strayer University-Henrico Campus","51300","41600","49100","56100","55200","Glen Allen","VA","www.strayer.edu/virginia/henrico","8334","16769.5","17500.5","0.896555357","Private"
"7534","Strayer University-Chesterfield Campus","51300","41600","49100","56100","55200","Midlothian","VA","www.strayer.edu/virginia/chesterfield","8334","16769.5","17500.5","0.896555357","Private"
"7535","Strayer University-Chesapeake Campus","51300","41600","49100","56100","55200","Chesapeake","VA","www.strayer.edu/virginia/chesapeake","8334","16769.5","17500.5","0.896555357","Private"
"7536","Strayer University-Newport News Campus","51300","41600","49100","56100","55200","Newport News","VA","www.strayer.edu/virginia/newport-news","8334","16769.5","17500.5","0.896555357","Private"
"7537","Strayer University-Virginia Beach Campus","51300","41600","49100","56100","55200","Virginia Beach","VA","www.strayer.edu/virginia/virginia-beach","8334","16769.5","17500.5","0.896555357","Private"
"7538","Union Presbyterian Seminary-Charlotte","PrivacySuppressed","NULL","NULL","NULL","NULL","Charlotte","NC","www.upsem.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"7539","Washington State University-Vancouver","45800","40800","48300","50200","52800","Vancouver","WA","www.vancouver.wsu.edu/","14609.5","15000","14523","0.828313253","Public"
"7540","Washington State University-Spokane","45800","40800","48300","50200","52800","Spokane","WA","spokane.wsu.edu/","14609.5","15000","14523","0.828313253","Public"
"7541","Washington State University-Tri Cities","45800","40800","48300","50200","52800","Richland","WA","www.tricity.wsu.edu/","14609.5","15000","14523","0.828313253","Public"
"7542","West Virginia Business College-Nutter Fort","15300","19900","16200","19800","19400","Nutter Fort","WV","www.wvbc.edu","11860","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"7543","University of the Virgin Islands-Albert A. Sheen","33600","27700","31400","34800","33900","St. Croix","VI","www.uvi.edu","7723","7500","5500","0.455804047","Public"
"7544","ECPI University-Newport News","NULL","NULL","NULL","NULL","NULL","Newport News","VA","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7545","ECPI University-Greensboro","NULL","NULL","NULL","NULL","NULL","Greensboro","NC","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7546","ECPI University-Charlotte","NULL","NULL","NULL","NULL","NULL","Charlotte","NC","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7547","ECPI University-Greenville","NULL","NULL","NULL","NULL","NULL","Greenville","SC","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7548","ECPI University-Manassas","NULL","NULL","NULL","NULL","NULL","Manassas","VA","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7549","ECPI University-Charleston","NULL","NULL","NULL","NULL","NULL","North Charleston","SC","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7550","ECPI University-Raleigh","NULL","NULL","NULL","NULL","NULL","Raleigh","NC","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7551","ECPI University-Columbia","NULL","NULL","NULL","NULL","NULL","Columbia","SC","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7552","ECPI University-Concord","NULL","NULL","NULL","NULL","NULL","Charlotte","NC","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7553","ECPI University-Culinary Institute of Virginia","NULL","NULL","NULL","NULL","NULL","Norfolk","VA","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7554","ECPI University-Virginia Beach Health Sciences","NULL","NULL","NULL","NULL","NULL","Virginia Beach","VA","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7555","ECPI University-Richmond South","NULL","NULL","NULL","NULL","NULL","Richmond","VA","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7556","ECPI University-Innsbrook","NULL","NULL","NULL","NULL","NULL","Glen Allen","VA","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7557","ECPI University-Richmond West","NULL","NULL","NULL","NULL","NULL","Richmond","VA","NULL","13056.5","15862","16136.5","0.828486757","Private"
"7558","Vista College","20400","20800","22900","24200","23900","Amarillo","TX","vistacollege.edu","11875","11875","10342","0.857182244","Private"
"7559","Vista College","20400","20800","22900","24200","23900","Lubbock","TX","vistacollege.edu","11875","11875","10342","0.857182244","Private"
"7560","Computer Career Center-Las Cruces","20400","20800","22900","24200","23900","Las Cruces","NM","vistacollege.edu","11875","11875","10342","0.857182244","Private"
"7561","Vista College-Beaumont","NULL","NULL","NULL","NULL","NULL","Beaumont","TX","vistacollege.edu","11875","11875","10342","0.857182244","Private"
"7562","Vista College-Longview","NULL","NULL","NULL","NULL","NULL","Longview","TX","vistacollege.edu","11875","11875","10342","0.857182244","Private"
"7563","Vista College-Killeen","NULL","NULL","NULL","NULL","NULL","Killeen","TX","vistacollege.edu","11875","11875","10342","0.857182244","Private"
"7564","Vista College - College Station","NULL","NULL","NULL","NULL","NULL","College Station","TX","www.vistacollege.edu","11875","11875","10342","0.857182244","Private"
"7565","Fremont College","NULL","26400","30800","NULL","35400","Los Angeles","CA","www.fremont.edu","20000","PrivacySuppressed","PrivacySuppressed","0.962555066","Private"
"7566","Rob Roy Academy - Woonsocket","NULL","19000","21100","NULL","20000","Woonsocket","RI","www.rob-roy.com","7104","8802","5500","0.881147541","Private"
"7567","CC's Cosmetology College","15300","13900","14800","16300","17800","Oklahoma City","OK","www.ccscosmetologycollege.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"7568","CC's Cosmetology College","15300","13900","14800","16300","17800","Sapulpa","OK","www.ccscosmetology.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"7569","CC's Cosmetology College-Texarkana","15300","13900","14800","16300","17800","Texarkana","TX","www.ccscosmetologcollege.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"7570","CC's Cosmetology College-Texarkana","15300","13900","14800","16300","17800","Texarkana","AR","www.ccscosmetologcollege.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"7571","YTI Career Institute - Altoona","NULL","19100","22000","NULL","26800","Altoona","PA","www.yti.edu","8316","9500","12749","0.876126126","Private"
"7572","SW School of Business & Technical Careers","NULL","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","Uvalde","TX","www.sws.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.407407407","Private"
"7573","SW School of Business & Technical Careers","NULL","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","San Antonio","TX","www.sws.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.407407407","Private"
"7574","SW School of Business and Technical Careers-Del Rio","17300","PrivacySuppressed","15800","17600","17600","Del Rio","TX","www.sws.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.52","Private"
"7575","SW School of Business and Technical Careers-North Campus","17300","PrivacySuppressed","15800","17600","17600","Austin","TX","www.sws.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.52","Private"
"7576","SW School of Business and Technical Careers-South Campus","17300","PrivacySuppressed","15800","17600","17600","Austin","TX","www.sws.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.52","Private"
"7577","Westech College","NULL","NULL","NULL","NULL","NULL","Moreno Valley","CA","www.westech.edu","9323","9323","6674.5","0.919767442","Private"
"7578","Westech College","NULL","NULL","NULL","NULL","NULL","Victorville","CA","www.westech.edu","9323","9323","6674.5","0.919767442","Private"
"7579","Everglades University-Orlando","43300","40500","45800","46600","47500","Maitland","FL","www.EvergladesUniversity.edu","20000","23000","23583.5","0.880761523","Private"
"7580","Everglades University-Sarasota","43300","40500","45800","46600","47500","Sarasota","FL","www.EvergladesUniversity.edu","20000","23000","23583.5","0.880761523","Private"
"7581","UEI College","NULL","28000","PrivacySuppressed","NULL","PrivacySuppressed","Riverside","CA","http://www.uei.edu/","9500","9500","9500","0.862935056","Private"
"7582","UEI College-Bakersfield","NULL","NULL","NULL","NULL","NULL","Bakersfield","CA","http://www.uei.edu/","9500","9500","9500","0.899326347","Private"
"7583","Wright Career College - Oklahoma City  OK","18100","17700","18400","19300","19600","Oklahoma City","OK","wrightcareercollege.edu/calculator/npcalc.htm","12125","14750","11774","0.875126904","Private"
"7584","Wright Career College - Tulsa  OK","18100","17700","18400","19300","19600","Tulsa","OK","wrightcareercollege.edu/calculator/npcalc.htm","12125","14750","11774","0.875126904","Private"
"7585","Wright Career College-Wichita","NULL","NULL","NULL","NULL","NULL","Wichita","KS","www.wrightcc.edu","12125","14750","11774","0.875126904","Private"
"7586","Wright Career College-Omaha","NULL","NULL","NULL","NULL","NULL","Omaha","NE","www.wrightcc.edu","12125","14750","11774","0.875126904","Private"
"7587","Florida National University-South Campus","23400","23200","24100","24500","24800","Miami","FL","www.fnu.edu","15600","17789","13482","0.562594269","Private"
"7588","Florida National University Training Center","23400","23200","24100","24500","24800","Hialeah","FL","www.fnu.edu","15600","17789","13482","0.562594269","Private"
"7589","Marinello School of Beauty-Concord","NULL","22100","21300","NULL","23600","Concord","CA","www.marinello.com","7168","9872.5","10536","0.812643678","Private"
"7590","Marinello School of Beauty-Stockton","NULL","22100","21300","NULL","23600","Stockton","CA","www.marinello.com","7168","9872.5","10536","0.812643678","Private"
"7591","Connecticut Aero Tech  School","NULL","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","Hartford","CT","www.cttech.org/cats/","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"7592","Compu-Med Vocational Careers Corp","17300","16200","17900","19400","18400","Miami","FL","compumedschool.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"7593","Southeastern College-Miami Lakes","25100","27000","26600","28700","27400","Miami Lakes","FL","www.sec.edu","12360","14440","14353","0.936686391","Private"
"7594","Southeastern College-St. Petersburg","25100","27000","26600","28700","27400","St. Petersburg","FL","www.sec.edu","12360","14440","14353","0.936686391","Private"
"7595","Southeastern College-New Port Richey","25100","27000","26600","28700","27400","New Port Richey","FL","www.sec.edu","12360","14440","14353","0.936686391","Private"
"7596","Southeastern College - Tampa","NULL","27000","26600","NULL","27400","Tampa","FL","www.sec.edu","12360","14440","14353","0.936686391","Private"
"7597","Colorado Technical University","NULL","35400","46500","NULL","59500","Westminster","CO","www.coloradotech.edu/Denver","8068","17588","19847","0.840602666","Private"
"7598","Strayer University-Rockville Campus","51300","41600","49100","56100","55200","Rockville","MD","www.strayer.edu/maryland/rockville","8334","16769.5","17500.5","0.896555357","Private"
"7599","Strayer University-Anne Arundel Campus","51300","41600","49100","56100","55200","Millersville","MD","www.strayer.edu/maryland/anne-arundel","8334","16769.5","17500.5","0.896555357","Private"
"7600","Strayer University-White Marsh Campus","51300","41600","49100","56100","55200","Baltimore","MD","www.strayer.edu/maryland/white-marsh","8334","16769.5","17500.5","0.896555357","Private"
"7601","Strayer University-Owings Mills Campus","51300","41600","49100","56100","55200","Owings Mills","MD","www.strayer.edu/maryland/owings-mills","8334","16769.5","17500.5","0.896555357","Private"
"7602","Blue Cliff College","NULL","20800","30000","NULL","24500","Metairie","LA","www.bluecliffcollege.edu","8245","9500","8195","0.841827105","Private"
"7603","Franklin Career Institute - Brooklyn Campus","NULL","17400","20300","NULL","22400","Brooklyn","NY","www.franklincareer.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"7604","Mattia College -","NULL","NULL","NULL","NULL","NULL","Miami","FL","www.mattiacollege.edu","11967","14506","14569.5","0.967633929","Private"
"7605","International Yacht Restoration School","NULL","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","Bristol","RI","iyrs.edu","9500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"7606","McCann School of Business & Technology","23700","21900","24000","29000","28700","Hazle Township","PA","www.mccann.edu","12661","16334","14828","0.884740848","Private"
"7607","McCann School of Business & Technology","23700","21900","24000","29000","28700","Lewisburg","PA","www.mccann.edu","12661","16334","14828","0.884740848","Private"
"7608","McCann School of Business & Technology","23700","21900","24000","29000","28700","Dickson City","PA","www.mccann.edu","12661","16334","14828","0.884740848","Private"
"7609","McCann School of Business & Technology","23700","21900","24000","29000","28700","Allentown","PA","www.mccann.edu","12661","16334","14828","0.884740848","Private"
"7610","McCann School of Business & Technology","23700","21900","24000","29000","28700","Carlisle","PA","www.mccann.edu","12661","16334","14828","0.884740848","Private"
"7611","McCann School of Business & Technology","NULL","NULL","NULL","NULL","NULL","Wilkes-Barre","PA","mccann.edu/","12661","16334","14828","0.884740848","Private"
"7612","Central Florida Institute","NULL","26800","25200","NULL","28400","Orlando","FL","http://www.cfi.edu","9538","12125","12000","PrivacySuppressed","Private"
"7613","Marinello School of Beauty-Wichita","NULL","18600","20100","NULL","21500","Wichita","KS","www.marinello.com","7920","8260","9726.5","0.816291161","Private"
"7614","Marinello School of Beauty-Overland Park","NULL","18600","20100","NULL","21500","Overland Park","KS","www.marinello.com","7920","8260","9726.5","0.816291161","Private"
"7615","Texas Barber Colleges and Hairstyling Schools Branch Campus #1","19400","19400","21800","20200","22000","Dallas","TX","www.texasbarbercolleges.com","8786","PrivacySuppressed","PrivacySuppressed","0.86722377","Private"
"7616","Texas Barber Colleges and Hairstyling Schools Branch Campus #2","19400","19400","21800","20200","22000","Dallas","TX","www.texasbarbercolleges.com","8786","PrivacySuppressed","PrivacySuppressed","0.86722377","Private"
"7617","Texas Barber Colleges and Hairstyling Schools Branch Campus #6","19400","19400","21800","20200","22000","Houston","TX","www.texasbarbercolleges.com","8786","PrivacySuppressed","PrivacySuppressed","0.86722377","Private"
"7618","Texas Barber Colleges and Hairstyling Schools Branch Campus #5","19400","19400","21800","20200","22000","Houston","TX","www.texasbarbercolleges.com","8786","PrivacySuppressed","PrivacySuppressed","0.86722377","Private"
"7619","Texas Barber Colleges and Hairstyling Schools Branch Campus #7","19400","19400","21800","20200","22000","Conroe","TX","http://www.texasbarbercolleges.com","8786","PrivacySuppressed","PrivacySuppressed","0.86722377","Private"
"7620","Design's School of Cosmetology","NULL","17500","19100","NULL","PrivacySuppressed","Pleasanton","CA","www.designsschool.edu","7466","5500","9500","0.800813008","Private"
"7621","Strayer University-Nashville Campus","51300","41600","49100","56100","55200","Nashville","TN","www.strayer.edu/tennessee/nashville","8334","16769.5","17500.5","0.896555357","Private"
"7622","Strayer University-Shelby Oaks Campus","51300","41600","49100","56100","55200","Memphis","TN","www.strayer.edu/tennessee/shelby","8334","16769.5","17500.5","0.896555357","Private"
"7623","Strayer University-Knoxville Campus","51300","41600","49100","56100","55200","Knoxville","TN","www.strayer.edu/tennessee/knoxville","8334","16769.5","17500.5","0.896555357","Private"
"7624","Strayer University-Delaware County Campus","51300","41600","49100","56100","55200","Springfield","PA","www.strayer.edu/pennsylvania/delaware-county","8334","16769.5","17500.5","0.896555357","Private"
